Movie_ID,averageRating,numVotes
1205,5.4,30
1206,4.7,20
1207,5.5,20
1208,5.8,24
1209,7,1291
1210,4.7,65
1211,5.6,107
1212,5.6,84
1213,5.8,18
1214,6.9,1599
1215,5.5,18
1216,6.7,57
1217,5.8,34
1218,5.6,37
1219,5.5,86
1220,5.3,73
1221,5.9,43
1222,6.9,33
1223,4.8,20
1224,6.2,15
1225,5.7,20
1226,6.2,143
1227,5.7,310
1228,5.5,113
1229,6.3,22
1230,6.7,167
1231,5.5,20
1232,5.6,19
1233,6.1,21
1234,6.1,51
1235,6.9,1263
1236,5.7,268
1237,6.4,817
1238,4.8,155
1239,5.6,5
1240,4.8,16
1241,4.3,12
1242,4.9,29
1243,6.2,295
1244,7.3,15
1245,4.6,17
1246,5.7,12
1247,5,38
1248,5.4,128
1249,5,21
1250,8.4,17
1251,6.8,27
1252,4.7,90
1253,7.1,20
1254,6.3,29
1255,6,50
1256,4.7,31
1257,5.3,64
1258,5.9,410
1259,6.7,18
1260,7.7,17
1261,6.5,32
1262,6.3,117
1263,5.9,53
1264,6.2,21
1265,5.2,23
1266,5.5,108
1267,5.7,28
1268,4.6,24
1269,3.6,15
1270,7.6,16
1271,4,11
1272,4.9,300
1273,5.2,32
1274,5.8,12
1275,5.1,59
1276,6.4,2206
1277,7.4,1893
1278,5.9,43
1279,5.6,16
1280,5.4,95
1281,5.7,33
1282,6,18
1283,5.8,26
1284,5.6,20
1285,5.8,16
1286,7.2,13
1287,6.4,68
1288,4.6,38
1289,6,698
1290,6,11
1291,6.1,587
1292,5.5,28
1293,6.8,29
1294,6.8,11
1295,5.3,37
1296,5.7,19
1297,5,169
1298,5,56
1299,5,15
1300,6,53
1301,4.8,17
1302,5.5,44
1303,5.1,30
1304,6.9,14
1305,6,37
1306,6,17
1307,6.7,27
1308,7,26
1309,5.5,40
1310,5,29
1311,6.6,43
1312,6.5,13
1313,5.2,22
1314,4.1,25
1315,6,67
1316,4.6,20
1317,6.4,26
1318,6.4,22
1319,6,15
1320,4,10
1321,5.1,13
1322,5.8,130
1323,5.1,18
1324,3.3,22
1325,7.3,31
1326,5.2,24
1327,4.6,28
1328,6.7,15
1329,6.2,473
1330,7,14
1331,5.2,19
1332,6.4,1323
1333,6,9
1334,6.5,220
1335,6.2,873
1336,6.2,100
